date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-01-28,4.11,4.14,4.04,4.02,54041.0,-0.06,-1.46,4.104,4.158,4.09,72063.6,146958.53,134434.06
2019-01-25,4.15,4.21,4.1,4.09,73898.46,-0.06,-1.44,4.124,4.223,4.073,79097.83,216387.09,132756.56
2019-01-24,4.11,4.22,4.16,4.11,98889.62,0.05,1.22,4.128,4.285,4.055,90490.31,227279.35,129713.94
2019-01-23,4.1,4.14,4.11,4.06,65652.01,0.0,0.0,4.13,4.298,4.035,105536.28,225684.74,126600.67
2019-01-22,4.15,4.17,4.11,4.09,67836.91,-0.03,-0.72,4.16,4.277,4.021,133170.08,223050.01,124122.52
2019-01-21,4.1,4.19,4.14,4.09,89212.15,0.02,0.48,4.212,4.252,4.003,221853.46,219370.04,121836.58
2019-01-18,4.18,4.21,4.12,4.09,130860.84,-0.05,-1.2,4.322,4.22,3.987,353676.35,214332.75,118493.78
2019-01-17,4.23,4.31,4.17,4.15,174119.48,-0.09,-2.11,4.442,4.186,3.973,364068.39,204745.56,112595.44
2019-01-16,4.32,4.36,4.26,4.23,203821.02,-0.11,-2.52,4.466,4.141,3.958,345833.2,189217.24,104664.85
2019-01-15,4.4,4.45,4.37,4.22,511253.81,-0.32,-6.82,4.394,4.089,3.94,312929.93,170952.03,95388.39
2019-01-14,4.95,5.19,4.69,4.68,748326.62,-0.03,-0.64,4.292,4.021,3.917,216886.61,121909.59,70685.57
2019-01-11,4.5,4.72,4.72,4.46,182821.0,0.43,10.02,4.118,3.922,3.882,74989.14,49126.03,34882.76
2019-01-10,3.88,4.29,4.29,3.87,82943.54,0.39,10.0,3.93,3.825,3.841,45422.73,32148.53,26726.71
2019-01-09,3.87,3.94,3.9,3.84,39304.69,0.04,1.04,3.816,3.772,3.822,32601.28,27516.61,23411.0
2019-01-08,3.82,3.88,3.86,3.8,31037.2,0.04,1.05,3.784,3.764,3.823,28974.13,25195.04,22504.59
2019-01-07,3.78,3.83,3.82,3.77,38839.25,0.04,1.06,3.75,3.753,3.828,26932.57,24303.12,22188.96
2019-01-04,3.7,3.78,3.78,3.66,34988.95,0.06,1.61,3.726,3.754,3.834,23262.92,22654.82,22122.14
2019-01-03,3.74,3.76,3.72,3.71,18836.32,-0.02,-0.54,3.72,3.76,3.846,18874.33,20445.33,22862.63
2019-01-02,3.7,3.75,3.74,3.68,21168.91,0.05,1.35,3.728,3.775,3.862,22431.93,20112.47,24427.7
2018-12-28,3.71,3.74,3.69,3.67,20829.44,-0.01,-0.27,3.744,3.79,3.874,21415.96,19824.75,25953.1
2018-12-27,3.76,3.82,3.7,3.7,20491.0,-0.05,-1.33,3.756,3.812,3.881,21673.66,19461.54,25993.57
2018-12-26,3.73,3.79,3.75,3.73,13046.0,-0.01,-0.27,3.782,3.841,3.887,22046.71,20639.5,26298.62
2018-12-25,3.81,3.81,3.76,3.66,36624.29,-0.06,-1.57,3.8,3.856,3.894,22016.33,21304.89,26829.55
2018-12-24,3.78,3.83,3.82,3.74,16089.05,0.07,1.87,3.822,3.872,3.899,17793.0,19305.4,26011.16
2018-12-21,3.83,3.84,3.75,3.74,22117.98,-0.08,-2.09,3.836,3.881,3.901,18233.55,19814.13,26550.89
2018-12-20,3.84,3.85,3.83,3.76,22356.25,-0.01,-0.26,3.868,3.903,3.908,17249.41,20074.8,27644.7
2018-12-19,3.9,3.91,3.84,3.83,12894.06,-0.03,-0.78,3.9,3.914,3.918,19232.28,21589.46,28422.06
2018-12-18,3.87,3.93,3.87,3.84,15507.68,-0.02,-0.51,3.912,3.932,3.928,20593.46,25279.92,29301.44
2018-12-17,3.89,3.91,3.89,3.83,18291.79,-0.02,-0.51,3.922,3.949,3.933,20817.79,28742.92,30871.16
2018-12-14,3.98,3.98,3.91,3.9,17197.28,-0.08,-2.0,3.926,3.958,3.944,21394.71,32081.44,31688.06
2018-12-13,3.9,3.99,3.99,3.87,32270.58,0.09,2.31,3.938,3.95,3.953,22900.18,32525.61,32891.73
2018-12-12,3.93,3.95,3.9,3.89,19699.97,-0.02,-0.51,3.928,3.933,3.956,23946.64,31957.75,33464.14
2018-12-11,3.95,3.95,3.92,3.9,16629.33,0.01,0.26,3.952,3.932,3.961,29966.38,32354.2,35455.43
2018-12-10,3.93,3.96,3.91,3.91,21176.41,-0.06,-1.51,3.976,3.926,3.964,36668.06,32716.93,38201.76
2018-12-07,3.98,4.04,3.97,3.95,24724.62,0.03,0.76,3.99,3.92,3.964,42768.16,33287.64,39561.32
2018-12-06,4.01,4.05,3.94,3.94,37502.89,-0.08,-1.99,3.962,3.913,3.956,42151.03,35214.6,39840.06
2018-12-05,3.97,4.07,4.02,3.94,49798.65,-0.02,-0.49,3.938,3.921,3.954,39968.86,35254.67,42551.53
2018-12-04,3.96,4.05,4.04,3.95,50137.72,0.06,1.51,3.912,3.923,3.951,34742.02,33322.96,44147.51
2018-12-03,3.97,4.02,3.98,3.91,51676.91,0.15,3.92,3.876,3.916,3.942,28765.79,32999.4,43157.87
2018-11-30,3.82,3.85,3.83,3.75,21639.0,0.01,0.26,3.85,3.929,3.934,23807.12,31294.68,42784.14
2018-11-29,3.88,3.92,3.82,3.81,26592.0,-0.07,-1.8,3.864,3.955,3.932,28278.16,33257.86,43267.3
2018-11-28,3.88,3.9,3.89,3.83,23664.45,0.03,0.78,3.904,3.979,3.926,30540.48,34970.53,43488.5
2018-11-27,3.85,3.89,3.86,3.84,20256.6,0.01,0.26,3.934,3.99,3.918,31903.91,38556.66,44035.69
2018-11-26,3.9,3.91,3.85,3.83,26883.57,-0.05,-1.28,3.956,4.002,3.908,37233.01,43686.6,44093.81
2018-11-23,4.02,4.05,3.9,3.86,43994.2,-0.12,-2.98,4.008,4.007,3.895,38782.24,45835.0,43826.8
2018-11-22,4.08,4.11,4.02,4.0,37903.56,-0.02,-0.49,4.046,3.999,3.881,38237.55,44465.51,42830.06
2018-11-21,3.95,4.05,4.04,3.92,30481.62,0.07,1.76,4.054,3.987,3.858,39400.59,49848.39,42261.33
2018-11-20,4.1,4.11,3.97,3.9,46902.09,-0.14,-3.41,4.046,3.979,3.834,45209.41,54972.06,41662.97
2018-11-19,4.07,4.13,4.11,4.06,34629.73,0.02,0.49,4.048,3.967,3.814,50140.19,53316.35,40917.12
2018-11-16,4.05,4.11,4.09,4.04,41270.76,0.03,0.74,4.006,3.939,3.791,52887.77,54273.6,40986.65
2018-11-15,4.01,4.08,4.06,3.99,43718.74,0.06,1.5,3.952,3.909,3.761,50693.47,53276.74,39907.39
2018-11-14,4.0,4.12,4.0,3.99,59525.71,0.02,0.5,3.92,3.873,3.73,60296.2,52006.47,38592.15
2018-11-13,3.85,4.04,3.98,3.82,71556.0,0.08,2.05,3.912,3.845,3.705,64734.71,49514.72,36572.41
2018-11-12,3.83,3.92,3.9,3.79,48367.63,0.08,2.09,3.886,3.813,3.68,56492.51,44501.02,33970.3
2018-11-09,3.86,3.88,3.82,3.8,30299.28,-0.08,-2.05,3.872,3.783,3.663,55659.43,41818.59,32519.06
2018-11-08,3.93,4.03,3.9,3.83,91732.38,-0.06,-1.51,3.866,3.763,3.656,55860.01,41194.61,32513.47
2018-11-07,3.87,4.1,3.96,3.83,81718.24,0.11,2.86,3.826,3.728,3.645,43716.73,34674.27,30518.25
2018-11-06,3.83,3.86,3.85,3.76,30345.0,0.02,0.52,3.778,3.689,3.649,34294.73,28353.89,27107.54
2018-11-05,3.79,3.87,3.83,3.76,44202.23,0.04,1.05,3.74,3.661,3.658,32509.53,28517.88,26330.73
2018-11-02,3.79,3.79,3.79,3.72,31302.2,0.09,2.43,3.694,3.642,3.667,27977.76,27699.7,25349.47
2018-11-01,3.72,3.77,3.7,3.69,31016.0,-0.02,-0.54,3.66,3.612,3.684,26529.2,26538.03,24881.01
2018-10-31,3.65,3.74,3.72,3.63,34608.24,0.06,1.64,3.63,3.586,3.706,25631.8,25177.83,25136.06
2018-10-30,3.62,3.67,3.66,3.58,21419.0,0.06,1.67,3.6,3.565,3.726,22413.04,23630.11,24355.2
2018-10-29,3.62,3.63,3.6,3.57,21543.36,-0.02,-0.55,3.582,3.546,3.748,24526.23,23439.57,24667.25
2018-10-26,3.56,3.62,3.62,3.56,24059.4,0.07,1.97,3.59,3.543,3.776,27421.65,23219.54,24875.41
2018-10-25,3.47,3.57,3.55,3.44,26529.0,-0.02,-0.56,3.564,3.548,3.8,26546.86,23832.34,24487.83
2018-10-24,3.55,3.62,3.57,3.54,18514.44,0.0,0.0,3.542,3.562,3.828,24723.86,26362.24,24382.11
2018-10-23,3.67,3.69,3.57,3.55,31984.97,-0.07,-1.92,3.53,3.608,3.853,24847.18,25861.19,24321.29
2018-10-22,3.52,3.7,3.64,3.51,36020.42,0.15,4.3,3.51,3.654,3.876,22352.91,24143.57,23616.69
2018-10-19,3.42,3.51,3.49,3.38,19685.47,0.05,1.45,3.496,3.691,3.897,19017.42,22999.23,22809.27
2018-10-18,3.51,3.52,3.44,3.42,17414.01,-0.07,-1.99,3.532,3.756,3.929,21117.81,23223.98,22780.36
2018-10-17,3.53,3.56,3.51,3.44,19131.01,0.04,1.15,3.582,3.825,3.961,28000.61,25094.29,22675.32
2018-10-16,3.56,3.62,3.47,3.46,19513.63,-0.1,-2.8,3.686,3.886,3.989,26875.21,25080.29,22665.91
2018-10-15,3.69,3.71,3.57,3.5,19343.0,-0.1,-2.73,3.798,3.95,4.019,25934.24,25894.93,23046.23
2018-10-12,3.6,3.71,3.67,3.51,30187.42,-0.02,-0.54,3.886,4.009,4.047,26981.04,26531.29,23387.32
2018-10-11,3.95,3.95,3.69,3.64,51828.0,-0.34,-8.44,3.98,4.052,4.069,25330.15,25143.33,23425.68
2018-10-10,4.04,4.05,4.03,4.01,13503.99,0.0,0.0,4.068,4.093,4.094,22187.97,22401.98,22935.73
2018-10-09,4.01,4.06,4.03,4.01,14808.78,0.02,0.5,4.086,4.098,4.107,23285.38,22781.38,25549.76
2018-10-08,4.09,4.1,4.01,4.01,24577.0,-0.13,-3.14,4.102,4.097,4.124,25855.63,23089.81,28927.52
2018-09-28,4.18,4.18,4.14,4.09,21933.0,0.01,0.24,4.132,4.103,4.131,26081.54,22619.31,28615.13
2018-09-27,4.15,4.24,4.13,4.12,36117.07,0.01,0.24,4.124,4.101,4.132,24956.5,22336.73,28461.43
2018-09-26,4.12,4.14,4.12,4.09,18991.04,0.01,0.24,4.118,4.096,4.138,22616.0,20256.34,27820.18
2018-09-25,4.14,4.15,4.11,4.09,27660.04,-0.05,-1.2,4.11,4.092,4.144,22277.39,20251.53,27792.84
2018-09-21,4.14,4.16,4.16,4.1,25706.54,0.06,1.46,4.092,4.087,4.15,20323.98,20197.53,27711.32
2018-09-20,4.1,4.13,4.1,4.08,16307.83,0.0,0.0,4.074,4.084,4.151,19157.09,20243.36,27850.57
2018-09-19,4.07,4.14,4.1,4.05,24414.54,0.02,0.49,4.078,4.086,4.154,19716.96,21708.03,28103.63
2018-09-18,3.99,4.09,4.08,3.99,17298.0,0.06,1.49,4.074,4.094,4.156,17896.69,23469.47,27952.6
2018-09-17,4.08,4.08,4.02,4.01,17893.0,-0.05,-1.23,4.074,4.116,4.161,18225.67,28318.14,28269.94
2018-09-14,4.12,4.14,4.07,4.07,19872.06,-0.05,-1.21,4.082,4.151,4.168,20071.08,34765.23,29046.88
2018-09-13,4.1,4.15,4.12,4.08,19107.21,0.04,0.98,4.094,4.158,4.175,21329.63,34610.94,29261.39
2018-09-12,4.08,4.11,4.08,4.06,15313.17,0.0,0.0,4.094,4.163,4.182,23699.09,34586.14,29877.86
2018-09-11,4.07,4.1,4.08,4.05,18942.92,0.02,0.49,4.114,4.179,4.192,29042.26,35384.02,30448.25
2018-09-10,4.14,4.16,4.06,4.04,27120.02,-0.07,-1.7,4.158,4.195,4.207,38410.6,35334.14,31992.61
2018-09-07,4.13,4.18,4.13,4.11,26164.83,0.01,0.24,4.22,4.213,4.227,49459.38,35225.11,32560.31
2018-09-06,4.18,4.21,4.12,4.12,30954.52,-0.06,-1.44,4.222,4.218,4.243,47892.26,35457.78,33301.64
2018-09-05,4.28,4.28,4.18,4.17,42029.0,-0.12,-2.79,4.232,4.221,4.262,45473.18,34499.23,35689.5
2018-09-04,4.29,4.35,4.3,4.23,65784.64,-0.07,-1.6,4.244,4.218,4.276,41725.78,32435.73,36734.46
2018-09-03,4.15,4.46,4.37,4.11,82363.92,0.23,5.56,4.232,4.206,4.279,32257.68,28221.75,35050.53
2018-08-31,4.14,4.18,4.14,4.12,18329.2,-0.03,-0.72,4.206,4.185,4.27,20990.83,23328.54,32497.05
2018-08-30,4.23,4.23,4.17,4.16,18859.13,-0.07,-1.65,4.214,4.191,4.276,23023.31,23911.84,33238.91
2018-08-29,4.24,4.25,4.24,4.19,23292.0,0.0,0.0,4.21,4.2,4.279,23525.29,25169.58,34486.48
2018-08-28,4.25,4.27,4.24,4.22,18444.16,0.0,0.0,4.192,4.205,4.287,23145.69,25512.48,35250.15
2018-08-27,4.18,4.25,4.24,4.16,26029.66,0.06,1.44,4.18,4.219,4.3,24185.81,28651.09,35938.62
2018-08-24,4.16,4.25,4.18,4.14,28491.61,0.03,0.72,4.164,4.241,4.309,25666.24,29895.52,36398.19
2018-08-23,4.15,4.19,4.15,4.14,21369.01,0.0,0.0,4.168,4.268,4.322,24800.36,31145.5,37144.42
2018-08-22,4.17,4.2,4.15,4.13,21394.0,-0.03,-0.72,4.19,4.302,4.336,26813.87,36879.77,38473.68
2018-08-21,4.16,4.22,4.18,4.15,23644.76,0.02,0.48,4.218,4.334,4.351,27879.27,41033.18,40218.72
2018-08-20,4.18,4.2,4.16,4.08,33431.83,-0.04,-0.95,4.258,4.351,4.36,33116.36,41879.32,41592.98
2018-08-17,4.29,4.31,4.2,4.17,24162.21,-0.05,-1.18,4.318,4.355,4.363,34124.8,41665.56,41584.9
2018-08-16,4.24,4.3,4.26,4.15,31436.54,-0.04,-0.93,4.368,4.361,4.359,37490.64,42565.99,41528.56
2018-08-15,4.38,4.4,4.29,4.28,26721.0,-0.08,-1.83,4.414,4.357,4.349,46945.66,43803.39,41875.48
2018-08-14,4.45,4.49,4.38,4.34,49830.23,-0.07,-1.57,4.45,4.368,4.343,54187.09,44987.83,41647.31
2018-08-13,4.4,4.49,4.46,4.35,38474.0,0.01,0.23,4.444,4.38,4.333,50642.28,43226.15,40221.89
2018-08-10,4.49,4.51,4.45,4.42,40991.44,-0.04,-0.89,4.392,4.376,4.318,49206.32,42900.85,39386.14
2018-08-09,4.46,4.53,4.49,4.41,78711.64,0.02,0.45,4.354,4.376,4.306,47641.33,43143.35,38361.11
2018-08-08,4.31,4.48,4.47,4.3,62928.13,0.13,3.0,4.3,4.369,4.292,40661.11,40067.6,35760.0
2018-08-07,4.18,4.35,4.35,4.17,32106.2,0.15,3.57,4.286,4.367,4.274,35788.56,39404.25,33915.03
2018-08-06,4.26,4.28,4.2,4.12,31294.2,-0.06,-1.41,4.316,4.369,4.27,35810.03,41306.65,33241.44
2018-08-03,4.24,4.3,4.26,4.21,33166.5,0.04,0.95,4.36,4.37,4.271,36595.39,41504.24,32991.87
2018-08-02,4.34,4.4,4.22,4.14,43810.52,-0.18,-4.09,4.398,4.356,4.267,38645.36,40491.12,33078.32
2018-08-01,4.5,4.56,4.4,4.36,38565.4,-0.1,-2.22,4.438,4.34,4.265,39474.09,39947.57,32092.3
2018-07-31,4.4,4.51,4.5,4.4,32213.51,0.08,1.81,4.448,4.317,4.258,43019.94,38306.79,32157.48
2018-07-30,4.39,4.51,4.42,4.39,35221.0,-0.03,-0.67,4.422,4.285,4.255,46803.27,37217.62,32342.2
2018-07-27,4.44,4.53,4.45,4.4,43416.35,0.04,0.91,4.38,4.259,4.255,46413.09,35871.42,34099.84
2018-07-26,4.47,4.47,4.42,4.36,47954.21,-0.03,-0.67,4.314,4.235,4.249,42336.89,33578.87,33454.48
2018-07-25,4.33,4.53,4.45,4.33,56294.64,0.1,2.3,4.242,4.214,4.237,40421.05,31452.39,32462.72
2018-07-24,4.21,4.42,4.37,4.21,51130.14,0.16,3.8,4.186,4.181,4.227,33593.64,28425.81,31282.11
2018-07-23,4.12,4.23,4.21,4.1,33270.09,0.09,2.18,4.148,4.171,4.221,27631.96,25176.23,30161.75
2018-07-20,4.04,4.14,4.12,4.04,23035.37,0.06,1.48,4.138,4.172,4.225,25329.76,24479.5,29863.84
2018-07-19,4.15,4.2,4.06,4.04,38375.0,-0.09,-2.17,4.156,4.177,4.232,24820.86,25665.52,29945.81
2018-07-18,4.19,4.21,4.17,4.15,22157.6,-0.01,-0.24,4.186,4.189,4.238,22483.73,24237.02,29655.06
2018-07-17,4.18,4.18,4.18,4.12,21321.76,0.01,0.24,4.176,4.199,4.248,23257.98,26008.16,30690.52
2018-07-16,4.2,4.2,4.16,4.14,21759.07,-0.04,-0.95,4.194,4.225,4.256,22720.5,27466.79,34177.3
2018-07-13,4.18,4.22,4.21,4.17,20490.86,0.01,0.24,4.206,4.251,4.289,23629.23,32328.25,35024.81
2018-07-12,4.12,4.22,4.21,4.11,26689.38,0.1,2.43,4.198,4.262,4.327,26510.18,33330.08,35005.63
2018-07-11,4.25,4.25,4.12,4.05,26028.83,-0.14,-3.29,4.192,4.26,4.366,25990.3,33473.05,35677.13
2018-07-10,4.21,4.28,4.27,4.21,18634.34,0.05,1.19,4.222,4.272,4.417,28758.34,34138.41,35404.19
2018-07-09,4.19,4.23,4.22,4.15,26302.75,0.05,1.2,4.256,4.271,4.459,32213.09,35147.26,35777.42
2018-07-06,4.16,4.24,4.17,4.03,34895.59,-0.01,-0.24,4.296,4.278,4.507,41027.27,35248.19,36244.52
2018-07-05,4.28,4.32,4.18,4.17,24090.01,-0.1,-2.34,4.326,4.286,4.565,40149.98,34226.1,35486.21
2018-07-04,4.44,4.44,4.27,4.25,39869.01,-0.18,-4.04,4.328,4.287,4.622,40955.8,35073.1,35162.26
2018-07-03,4.48,4.48,4.44,4.35,35908.08,0.01,0.23,4.322,4.297,4.677,39518.49,35372.89,34188.79
2018-07-02,4.32,4.61,4.42,4.32,70373.66,0.1,2.31,4.286,4.286,4.723,38081.43,40887.81,33567.56
2018-06-29,4.2,4.33,4.32,4.2,30509.13,0.13,3.1,4.26,4.326,4.77,29469.1,37721.36,31065.45
2018-06-28,4.24,4.27,4.19,4.16,28119.13,-0.05,-1.18,4.246,4.391,4.822,28302.21,36681.19,30561.94
